id	en1	jp1	en2	jp2	level	similar
1	way	方法、道筋	There are many ways to solve this problem.	この問題を解決する方法はたくさんあります。	1	[10456,6794,2267,9651,9933]
2	tour	観光、旅行	I went on a guided tour of the ancient ruins last summer.	昨年の夏、古代遺跡のガイド付きツアーに参加しました。	1	[10735,9246,9568,5077,8838]
3	penny	1セント硬貨、小額のお金	I found a penny on the street and picked it up.	通りで1セント硬貨を見つけて拾いました。	1	[783,405,92,2197,2380]
4	bad	悪い、ひどい	The weather was so bad that we decided to stay indoors all day.	天気がとても悪かったので、私たちは一日中家の中にいることにしました。	1	[9713,1545,4048,6559,2048]
5	should	すべき、必要がある	You should study for your exams to get good grades.	良い成績を取るために、試験勉強をすべきです。	1	[724,9992,2896,9954,3634]
6	art	芸術、アート	Art is a wonderful way to express people's emotions and thoughts.	芸術は人々の感情や思考を表現するための素晴らしい方法です。	1	[403,1830,6101,10542,10189]
7	lend	貸す	I lent him a book.	私は彼に本を貸しました。	1	[8300,945,171,958,1019]
8	bundle	束、バンドル	He carried a bundle of books home.	彼は本を一束まとめて持って帰りました。	1	[3935,5085,3356,5123,3925]
9	cart	カート	He is pushing a cart as he walks around the store to do his shopping.	彼は買い物をするためにカートを押して店内を回っています。	1	[6147,1683,9744,111,1564]
10	remark	発言、コメント	She made a thoughtful remark about the importance of kindness.	彼女は親切の重要性について考えさせられる発言をしました。	1	[10667,8689,3040,7529,3508]
11	neighbor	隣人	The neighbor is always kind and lends a hand whenever I need help.	隣人はいつも優しく、助けが必要なときには手を差し伸べてくれます。	1	[1817,976,961,5808,754]
12	disgust	嫌悪、嫌悪感	The smell of the rotten food made me feel disgust.	腐った食べ物の匂いで、私は嫌悪感を抱きました。	1	[4486,7659,1326,8324,3124]
13	head	頭	I have a headache.	頭が痛い。	1	[7049,6330,4548,10905,5573]
14	horizon	地平線、視野の限界	The beautiful sunset was sinking beyond the distant horizon.	遠くの地平線に美しい夕日が沈んでいきました。	1	[193,2096,2245,6796,124]
15	conscious	意識している、気づいている	She was fully conscious during the entire procedure.	彼女は手術中、完全に意識がありました。	1	[7801,5068,1049,2449,6198]
16	the	定冠詞、特定の物や人を指す言葉	The cat sat on the mat.	その猫はマットの上に座っていました。	1	[10443,2243,255,1562,3069]
17	strong	強い	He has a very strong will, so he can face any challenge.	彼は非常に強い意志を持っているので、どんな困難にも立ち向かうことができます。	1	[3705,4075,3589,3961,3656]
18	both	両方、双方	He took both opinions into account when making his decision.	彼は両方の意見を考慮に入れて決断を下しました。	1	[2769,3222,8957,3071,6142]
19	network	ネットワーク、ネットワーク接続	The company has a strong network of professionals in the industry.	その会社には業界の専門家の強力なネットワークがあります。	1	[4357,8313,6091,7099,10146]
20	grateful	感謝している	I am so grateful for the support of my family and friends.	家族と友人に支えられて、とても感謝しています。	1	[9667,10434,721,2092,2034]
21	plow	耕す、開拓する	The farmer plowed the field.	農民は畑を耕しました。	1	[784,5135,1622,821,7621]
22	who	誰、どの人	Who is your favorite actor?	あなたの好きな俳優は誰ですか？	1	[1930,145,10477,9593,4240]
23	joy	喜び、楽しみ	The children were filled with joy when they saw the fireworks.	子供たちは花火を見て喜びに満ちました。	1	[9080,48,9210,4993,2144]
24	swing	揺れる、ぶらぶらする	The children are swinging on the swings at the park.	子供たちは公園でブランコを揺さぶって遊んでいます。	1	[1100,6402,1194,2144,7830]
